Grupo A,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Bayern,3,3,0,0,9
Galatasaray,3,1,1,1,4
Manchester United,3,1,2,2,3
Copenhagen,3,0,1,2,1
,,,,,
,,,,,
Grupo B,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Arsenal,3,2,0,1,6
Lens,3,1,2,0,5
Sevilla,3,0,2,1,2
PSV,3,0,2,1,2
,,,,,
,,,,,
Grupo C,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Real Madrid,3,3,0,0,9
Napoli,3,2,0,1,6
Braga,3,1,0,2,3
Union Berlin,3,0,0,3,0
,,,,,
,,,,,
Grupo D,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Real Sociedad,3,2,1,0,7
Inter,3,2,1,0,7
Salzburg,3,1,0,2,3
Benfica,3,0,0,3,0
,,,,,
,,,,,
Grupo E,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Feyenoord,3,2,0,1,6
Atletico de Madrid,3,1,2,0,5
Lazio,3,1,1,1,4
Celtic,3,0,1,2,1
,,,,,
,,,,,
Grupo F,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Paris,3,2,0,1,6
Dortmund,3,1,1,1,4
Newcastle,3,1,1,1,4
Milan,3,0,2,1,2
,,,,,
,,,,,
Grupo G,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Man City,3,3,0,0,9
Leipzig,3,2,0,1,6
Young Boys,3,0,1,2,1
Crvena zvezda,3,0,1,2,1
,,,,,
,,,,,
Grupo H,,,,,
Equipo,Partidos,Visctorias,Empates,Derrotas,Puntos
Barcelona,3,3,0,0,9
Porto,3,2,0,1,6
Shakhtar Donetsk,3,1,0,2,3
Antwerp,3,0,0,3,0
